subject	Order	n_safe	chose_risky
27	Safe first	10.0	0.65625
27	Safe first	14.0	0.78125
27	Safe first	20.0	0.8125
27	Safe first	28.0	0.84375
28	Risky first	5.0	0.4375
28	Risky first	7.0	0.375
28	Risky first	10.0	0.53125
28	Risky first	14.0	0.625
28	Risky first	20.0	0.4375
28	Risky first	28.0	0.46875
28	Safe first	5.0	0.40625
28	Safe first	7.0	0.4375
28	Safe first	10.0	0.34375
28	Safe first	14.0	0.53125
28	Safe first	20.0	0.5625
28	Safe first	28.0	0.5625
29	Risky first	5.0	0.625
29	Risky first	7.0	0.5
29	Risky first	10.0	0.375
29	Risky first	14.0	0.4375
29	Risky first	20.0	0.40625
29	Risky first	28.0	0.46875
29	Safe first	5.0	0.28125
29	Safe first	7.0	0.4375
29	Safe first	10.0	0.5625
29	Safe first	14.0	0.59375
29	Safe first	20.0	0.59375
29	Safe first	28.0	0.53125
30	Risky first	5.0	0.6875
30	Risky first	7.0	0.53125
30	Risky first	10.0	0.1875
30	Risky first	14.0	0.15625
30	Risky first	20.0	0.3125
30	Risky first	28.0	0.3125
30	Safe first	5.0	0.59375
30	Safe first	7.0	0.40625
30	Safe first	10.0	0.5625
30	Safe first	14.0	0.53125
30	Safe first	20.0	0.75
30	Safe first	28.0	0.84375
31	Risky first	5.0	0.84375
31	Risky first	7.0	0.8125
31	Risky first	10.0	0.625
31	Risky first	14.0	0.3125
31	Risky first	20.0	0.25
31	Risky first	28.0	0.03125
31	Safe first	5.0	0.625
31	Safe first	7.0	0.5625
31	Safe first	10.0	0.75
31	Safe first	14.0	0.5
31	Safe first	20.0	0.3125
31	Safe first	28.0	0.21875
32	Risky first	5.0	0.15625
32	Risky first	7.0	0.0625
32	Risky first	10.0	0.03125
32	Risky first	14.0	0.0625
32	Risky first	20.0	0.03125
32	Risky first	28.0	0.0625
32	Safe first	5.0	0.21875
32	Safe first	7.0	0.28125
32	Safe first	10.0	0.1875
32	Safe first	14.0	0.25
32	Safe first	20.0	0.1875
32	Safe first	28.0	0.15625
